,ale_score,abe_score,u_score,seq_score,u_average,a_average,g_average,c_average,BSP,BSlen,sRNA_MFE,mRNA_MFE,FA,After_BSP_sRNA_Ale,After_BSP_sRNA_Abe,Before_BSP_sRNA_Ale,Before_BSP_sRNA_Abe,After_BSP_sRNA_len,Before_BSP_sRNA_len,HE,is_upreg
422,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,792,3,0.0,0.0,14.99915659,0.25085783506214016,0.1915032679738562,-0.3451379878755093,-0.14357142857142857,17.0,70.0,-3.19,1
423,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,1621,4,0.0,0.0,20.99380134,-0.14896284964907833,-0.3802083333333333,-0.4337011145405927,-0.12315789473684212,48.0,38.0,-4.74,1
424,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,74,9,0.0,0.0,65.98584114,-0.12200378216479744,-0.415,-0.30476190476190473,-0.18870967741935482,50.0,31.0,-7.27,1
425,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,362,13,-0.6000000238,-0.400000006,117.8494316,-0.247683179885804,-0.21354166666666669,-0.2284752284752285,-0.21666666666666667,56.0,34.0,-13.72,1
426,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,362,13,-0.6000000238,-0.400000006,117.8494316,-0.247683179885804,-0.21354166666666669,-0.2284752284752285,-0.21666666666666667,56.0,34.0,-13.72,1
427,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,-148,11,0.0,0.0,89.17435061,-0.078125,-0.3764705882352941,-0.5652950991944042,-0.10438596491228071,34.0,60.0,-12.12,1
428,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,1046,8,0.0,0.0,54.77449561,-0.28185356739096634,-0.20273357813137496,-0.2284752284752285,-0.18416666666666667,57.0,40.0,-14.18,1
429,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,873,4,0.0,0.0,20.99804304,0.23731171362750308,0.17250000000000001,-0.3451379878755093,-0.14357142857142857,16.0,70.0,-4.85,1
430,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,752,4,0.0,0.0,20.99804304,0.23731171362750308,0.17250000000000001,-0.3451379878755093,-0.14357142857142857,16.0,70.0,-5.71,1
431,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,-80,12,0.0,-1.5,102.1580598,-0.13436255930252436,-0.40378787878787875,-0.304937838933629,-0.17739682539682533,44.0,63.0,-10.75,1
432,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,-105,4,0.0,0.0,20.99954386,-0.12200378216479744,-0.415,-0.425847323408299,-0.13263888888888886,50.0,36.0,-5.02,1
433,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,156,7,0.0,0.0,44.53131691,-0.16306896302487311,-0.342,-0.304937838933629,-0.17739682539682533,50.0,63.0,-9.73,1
434,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,-8,3,0.0,0.0,14.99955215,0.25085783506214016,0.1915032679738562,-0.3451379878755093,-0.14357142857142857,17.0,70.0,-3.75,1
435,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,811,22,-2.700000048,-2.400000095,295.3657539,-0.06896551724137931,-0.4142857142857143,-0.304937838933629,-0.17739682539682533,35.0,63.0,-35.22,1
436,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,425,7,0.0,0.0,43.87575655,-0.1861702700616697,-0.2835714285714286,-0.3417040576297596,-0.16716981132075473,60.0,53.0,-15.88,1
437,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,81,23,-2.799999952,-0.5,320.382727,-0.16280003015051855,-0.33578431372549017,-0.29646570471609757,-0.194468085106383,51.0,47.0,-15.91,1
438,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,116,5,0.0,0.0,27.97843544,-0.18336832504120387,-0.30381651376146795,0.0,0.0,109.0,6.0,-6.75,1
439,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,-9,3,0.0,0.0,14.99915659,0.25085783506214016,0.1915032679738562,-0.3451379878755093,-0.14357142857142857,17.0,70.0,-3.75,1
440,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,3251,9,0.0,0.0,65.97434621,-0.12247006085137199,-0.4219387755102041,-0.30476190476190473,-0.1828125,49.0,32.0,-11.68,1
441,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,292,4,0.0,0.0,20.9967323,-0.12200378216479744,-0.4068627450980392,-0.4595173570783327,-0.13214285714285715,51.0,35.0,-5.41,1
442,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,-14,3,0.0,0.0,15.0,0.25085783506214016,0.1915032679738562,-0.3451379878755093,-0.14357142857142857,17.0,70.0,-3.75,1
443,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,2083,17,-1.0,0.0,188.2275412,-0.1291649214016241,-0.3761904761904762,-0.30476190476190473,-0.18870967741935482,42.0,31.0,-13.81,1
